brand,date,video_views,profile_views,likes,comments,shares
TIA,2026-07-10,383,17,7,1,3
TIA,2026-07-11,271,9,2,0,1
TIA,2026-07-12,235,6,7,1,1
TIA,2026-07-13,226,4,0,0,2
TIA,2026-07-14,223,8,2,0,4
TIA,2026-07-15,285,12,2,2,6
TIA,2026-07-16,171,5,2,0,0
TIA,2026-07-17,333,6,9,0,9
TIA,2026-07-18,312,18,8,0,2
TIA,2026-07-19,1006,12,22,1,2
TIA,2026-07-20,251,8,11,0,3
TIA,2026-07-21,1286,24,22,2,3
TIA,2026-07-22,268,8,8,-1,3
TIA,2026-07-23,165,6,2,0,0
TIA,2026-07-24,163,4,1,0,1
TIA,2026-07-25,149,6,1,0,0
TIA,2026-07-26,100,3,2,-2,0
TIA,2026-07-27,134,6,1,0,0
TIA,2026-07-28,65,2,1,0,0
TIA,2026-07-29,62,1,2,0,0
TIA,2026-07-30,51,2,0,0,0
TIA,2026-07-31,61,6,0,0,0
TIA,2026-08-01,50,2,0,0,0
TIA,2026-08-02,52,2,0,0,0
TIA,2026-08-03,100,5,0,1,2
TIA,2026-08-04,1420,36,47,0,4
TIA,2026-08-05,240,10,1,0,2
TIA,2026-08-06,202,10,0,0,0
TIA,2026-08-07,141,2,5,0,0
TIA,2026-08-08,177,5,3,1,1
TIA,2026-08-09,155,6,1,0,0
TIA,2026-08-10,405,6,9,0,2
TIA,2026-08-11,153,4,1,0,0
TIA,2026-08-12,112,5,1,0,0
TIA,2026-08-13,132,7,1,0,0
TIA,2026-08-14,129,5,2,0,0
TIA,2026-08-15,95,4,0,0,0
TIA,2026-08-16,98,4,0,0,0
TIA,2026-08-17,76,2,1,0,0
TIA,2026-08-18,117,4,2,0,0
TIA,2026-08-19,67,0,0,0,0
TIA,2026-08-20,70,1,0,0,1
TIA,2026-08-21,144,5,0,0,1
TIA,2026-08-22,104,5,2,0,0
TIA,2026-08-23,116,8,0,0,0
TIA,2026-08-24,150,6,2,0,0
TIA,2026-08-25,366,11,7,0,2
TIA,2026-08-26,198,6,4,1,0
TIA,2026-08-27,159,8,0,0,0
TIA,2026-08-28,92,5,1,0,0
TIA,2026-08-29,117,3,2,0,0
TIA,2026-08-30,176,10,1,0,3
TIA,2026-08-31,238,9,3,0,0
Jacknkings,2026-04-15,522,6,14,0,0
Jacknkings,2026-04-16,63,3,11,1,0
Jacknkings,2026-04-17,579,10,17,0,1
Jacknkings,2026-04-18,67,3,7,0,1
Jacknkings,2026-04-19,11,0,2,0,0
Jacknkings,2026-04-20,656,2,14,0,0
Jacknkings,2026-04-21,43,1,4,0,1
Jacknkings,2026-04-22,589,5,15,0,0
Jacknkings,2026-04-23,58,0,1,0,0
Jacknkings,2026-04-24,39,1,3,0,0
Jacknkings,2026-04-25,493,4,12,0,0
Jacknkings,2026-04-26,48,2,4,0,0
Jacknkings,2026-04-27,17,0,0,0,0
Jacknkings,2026-04-28,14,1,2,0,0
Jacknkings,2026-04-29,21,3,2,0,0
Jacknkings,2026-04-30,15,0,0,0,2
Jacknkings,2026-05-01,42,1,1,0,0
Jacknkings,2026-05-02,17,3,3,1,1
Jacknkings,2026-05-03,10,0,1,0,0
Jacknkings,2026-05-04,5,4,0,0,1
Jacknkings,2026-05-05,5,0,1,0,0
Jacknkings,2026-05-06,2,0,1,0,0
Jacknkings,2026-05-07,1,1,0,0,0
Jacknkings,2026-05-08,287,3,11,0,0
Jacknkings,2026-05-09,22,1,1,0,0
Jacknkings,2026-05-10,15,0,1,0,0
Jacknkings,2026-05-11,401,6,68,0,2
Jacknkings,2026-05-12,238,14,20,2,0
Jacknkings,2026-05-13,38,5,11,1,0
Jacknkings,2026-05-14,349,11,17,0,0
Jacknkings,2026-05-15,384,9,9,0,1
Jacknkings,2026-05-16,79,1,5,1,0
Jacknkings,2026-05-17,70,2,2,0,0
Jacknkings,2026-05-18,862,6,43,1,0
Jacknkings,2026-05-19,48,2,8,2,0
Jacknkings,2026-05-20,535,5,9,0,0
Jacknkings,2026-05-21,388,4,7,1,0
Jacknkings,2026-05-22,51,1,5,0,0
Jacknkings,2026-05-23,22,1,4,0,0
Jacknkings,2026-05-24,22,1,1,0,0
Jacknkings,2026-05-25,29,1,0,0,0
Jacknkings,2026-05-26,94,2,5,0,0
Jacknkings,2026-05-27,10,0,1,0,0
Jacknkings,2026-05-28,4,1,0,0,0
Jacknkings,2026-05-29,5,0,0,0,0
Jacknkings,2026-05-30,3,0,1,0,0
Jacknkings,2026-05-31,0,0,0,0,0
Jacknkings,2026-06-01,42,1,1,0,0
Jacknkings,2026-06-02,45,3,1,0,0
Jacknkings,2026-06-03,11,1,1,0,0
Jacknkings,2026-06-04,23,4,4,0,0
Jacknkings,2026-06-05,34,2,10,0,0
Jacknkings,2026-06-06,6,0,0,0,0
Jacknkings,2026-06-07,10,1,2,0,0
Jacknkings,2026-06-08,38,1,1,0,0
Jacknkings,2026-06-09,51,4,14,0,8
Jacknkings,2026-06-10,42,1,7,0,0
Jacknkings,2026-06-11,37,2,4,0,2
Jacknkings,2026-06-12,76,8,7,0,1
Jacknkings,2026-06-13,13,2,5,1,0
Jacknkings,2026-06-14,18,1,2,0,0
Jacknkings,2026-06-15,115,7,18,2,4
Jacknkings,2026-06-16,48,6,8,1,1
Jacknkings,2026-06-17,45,7,6,1,0
Jacknkings,2026-06-18,31,3,5,0,0
Jacknkings,2026-06-19,14,1,1,0,1
Jacknkings,2026-06-20,3,0,1,0,0
Jacknkings,2026-06-21,12,0,0,0,0
Jacknkings,2026-06-22,47,4,3,0,0
Jacknkings,2026-06-23,17,4,2,1,1
Jacknkings,2026-06-24,7,1,0,0,0
Jacknkings,2026-06-25,16,1,4,0,0
Jacknkings,2026-06-26,15,1,0,0,0
Jacknkings,2026-06-27,0,0,0,0,0
Jacknkings,2026-06-28,6,0,0,0,0
Jacknkings,2026-06-29,5,1,1,0,0
Jacknkings,2026-06-30,9,2,1,0,0
Jacknkings,2026-07-01,14,1,4,0,0
Jacknkings,2026-07-02,3048,7,549,1,1
Jacknkings,2026-07-03,21,4,5,0,0
Jacknkings,2026-07-04,9,0,2,0,0
Jacknkings,2026-07-05,13,0,1,0,1
Jacknkings,2026-07-06,8,0,0,-2,0
Jacknkings,2026-07-07,7,0,1,0,0
Jacknkings,2026-07-08,46,0,8,0,0
Jacknkings,2026-07-09,16,2,4,0,0
Jacknkings,2026-07-10,5,0,1,0,0
Jacknkings,2026-07-11,5,0,0,0,0
Jacknkings,2026-07-12,0,1,0,0,0
Jacknkings,2026-07-13,18,1,2,0,0
Jacknkings,2026-07-14,7,1,0,0,0
Jacknkings,2026-07-15,6,0,0,0,0
Jacknkings,2026-07-16,7,0,0,0,0
Jacknkings,2026-07-17,2,0,0,0,0
Jacknkings,2026-07-18,7,0,0,0,0
Jacknkings,2026-07-19,7,0,2,0,2
Jacknkings,2026-07-20,12,4,2,0,0
Jacknkings,2026-07-21,3,0,1,0,0
Jacknkings,2026-07-22,2,0,0,0,0
Jacknkings,2026-07-23,4,0,1,0,0
Jacknkings,2026-07-24,9,0,4,0,0
Jacknkings,2026-07-25,0,0,0,0,0
Jacknkings,2026-07-26,0,0,0,0,0
Jacknkings,2026-07-27,5,1,1,0,0
Jacknkings,2026-07-28,3,0,0,0,0
Jacknkings,2026-07-29,8,0,0,0,0
Jacknkings,2026-07-30,0,0,0,0,0
Jacknkings,2026-07-31,3,1,1,0,0
Jacknkings,2026-08-01,0,0,0,0,0
Jacknkings,2026-08-02,0,0,1,0,0
Jacknkings,2026-08-03,0,0,0,0,0
Jacknkings,2026-08-04,1,0,0,0,0
Jacknkings,2026-08-05,4,1,0,0,0
Jacknkings,2026-08-06,0,0,0,0,0
Jacknkings,2026-08-07,1,0,0,0,0
Jacknkings,2026-08-08,0,0,0,0,0
Jacknkings,2026-08-09,2,0,0,0,0
Jacknkings,2026-08-10,5,3,0,0,0
Jacknkings,2026-08-11,0,0,0,0,0
Jacknkings,2026-08-12,0,0,0,0,0
Jacknkings,2026-08-13,0,0,0,0,0
Jacknkings,2026-08-14,0,0,0,0,0
Jacknkings,2026-08-15,0,0,0,0,0
Jacknkings,2026-08-16,0,0,0,0,0
Jacknkings,2026-08-17,0,0,0,0,0
Jacknkings,2026-08-18,1,0,0,0,0
Jacknkings,2026-08-19,0,0,0,0,0
Jacknkings,2026-08-20,0,0,0,0,0
Jacknkings,2026-08-21,0,0,0,0,0
Jacknkings,2026-08-22,0,0,0,0,0
Jacknkings,2026-08-23,0,1,0,0,0
Jacknkings,2026-08-24,6,0,1,0,0
Jacknkings,2026-08-25,0,0,0,0,0
Jacknkings,2026-08-26,1,0,0,0,0
Jacknkings,2026-08-27,0,0,0,0,0
Jacknkings,2026-08-28,0,0,0,0,0
Jacknkings,2026-08-29,0,0,0,0,0
Jacknkings,2026-08-30,0,0,0,0,0
Jacknkings,2026-08-31,0,0,0,0,0
